position;club;country;country1;2018;2019;2020;2021;2022;total
90;Racing Genk;Belgium;Bel;0;9000;5000;0;4000;18000
91;APOEL Nicosia;Cyprus;Cyp;6000;2500;7000;2500;0;18000
92;FCSB;Romania;Rom;9000;2500;2500;2000;1500;17500
93;BATE Borisov;Belarus;Bls;4000;8000;2500;1500;1500;17500
94;Bodø/Glimt;Norway;Nor;0;0;0;2000;15000;17000
95;Schalke 04;Germany;Ger;0;17000;0;0;0;17000
96;Rapid Wien;Austria;Aut;0;7000;0;5000;4000;16000
97;Standard Liège;Belgium;Bel;0;7000;6000;3000;0;16000
98;Ferencváros;Hungary;Hun;500;1000;6000;5000;3000;15500
99;Torino;Italy;Ita;0;0;2500;0;0;2500
100;Vitesse Arnhem;Netherlands;Ned;4000;2000;0;0;9000;15000
101;NK Rijeka;Croatia;Cro;5000;2000;2500;3000;2500;15000
102;Rosenborg BK;Norway;Nor;4000;3000;3000;2500;2500;15000
103;Union Berlin;Germany;Ger;0;0;0;0;5000;5000
104;1.FC Köln;Germany;Ger;4000;0;0;0;0;4000
105;Hertha BSC;Germany;Ger;4000;0;0;0;0;4000
106;SC Freiburg;Germany;Ger;1000;0;0;0;0;1000
107;Fenerbahçe;Turkey;Tur;1500;8000;0;0;5000;14500
108;Royal Antwerp;Belgium;Bel;0;0;2500;8000;4000;14500
109;Hapoel Beer-Sheva;Israel;Isr;3000;2000;2500;4000;2500;14000
110;Apollon Limassol;Cyprus;Cyp;3000;5000;2500;2000;1500;14000
111;NK Maribor;Slovakia;Slo;7000;2000;2500;1000;1500;14000
112;Sparta Praha;Czech Republic;Cze;1000;1500;2000;4000;5000;13500
113;Slovan Bratislava;Slovakia;Svk;500;2000;3000;1500;6000;13000
114;Legia Warsaw;Poland;Pol;1500;2000;2500;2500;4000;12500
115;FK Jablonec;Czech Republic;Cze;0;4000;1500;1500;5000;12000
116;OGC Nice;France;Fra;6000;0;0;3000;0;9000
117;Stade de Reims;France;Fra;0;0;0;2000;0;2000
118;AS Saint-Étienne;France;Fra;0;0;4000;0;0;4000
119;RC Strasbourg;France;Fra;0;0;2500;0;0;2500
120;Girondins Bordeaux;France;Fra;1000;5000;0;0;0;6000
121;Anderlecht;Belgium;Bel;6000;3000;0;0;2500;11500
122;FC Fehérvár;Hungary;Hun;1500;5000;1500;2500;1000;11500
123;Wolfsberger AC;Austria;Aut;0;0;4000;7000;0;11000
124;CD Santa Clara;Portugal;Por;0;0;0;0;2500;2500
125;Paços de Ferreira;Portugal;Por;0;0;0;0;2500;2500
126;Rio Ave;Portugal;Por;0;1500;0;2500;0;4000
127;Vitória Guimarães;Portugal;Por;4000;0;4000;0;0;8000
128;Maritimo Funchal;Portugal;Por;1500;0;0;0;0;1500
129;CSKA Sofia;Bulgaria;Bul;0;2000;2000;4000;2500;10500
130;Suduva Marijampole;Lithuania;Lit;1500;2500;2500;2000;1500;10000
131;Östersunds FK;Sweden;Swe;10000;0;0;0;0;10000
132;Flora Tallinn;Estonia;Est;250;1500;1500;2500;4000;9750
133;Willem II Tilburg;Netherlands;Ned;0;0;0;2000;0;2000
134;FC Utrecht;Netherlands;Ned;1500;0;1500;0;0;3000
135;Dundalk;Ireland;Irl;1000;1500;2000;3000;2000;9500
136;Aberdeen;Scotland;Sco;1000;1500;2000;2000;2500;9000
137;Shkendija Tetovo;Macedonia;Mac;1500;2500;1500;2000;1500;9000
138;FC Lugano;Switzerland;Sui;6000;0;3000;0;0;9000
139;HJK Helsinki;Finland;Fin;500;2000;2000;0;4000;8500
140;Brøndby IF;Denmark;Den;1000;2500;2000;0;3000;8500
141;The New Saints;Wales;Wal;1000;2000;2000;1500;2000;8500
142;Spartak Trnava;Slovakia;Svk;0;5000;1500;0;2000;8500
143;F91 Dudelange;Luxembourg;Lux;1000;3000;3000;0;1500;8500
144;Anorthosis Famagusta;Cyprus;Cyp;0;1000;0;2000;5000;8000
145;Riga FC;Latvia;Lat;0;1000;2500;2000;2500;8000
146;Kairat Almaty;Kazakhstan;Kaz;500;2000;1500;1500;2500;8000
147;Zalgiris Vilnius;Lithuania;Lit;1000;2000;1000;1500;2500;8000
148;Alashkert FC;Armenia;Arm;1000;2000;1500;1000;2500;8000
149;NK Osijek;Croatia;Cro;1500;1500;1500;1500;2000;8000
150;Hajduk Split;Croatia;Cro;1500;2000;1000;2000;1500;8000
151;Sturm Graz;Austria;Aut;1000;2000;1500;0;3000;7500
152;Austria Wien;Austria;Aut;4000;0;2000;0;1500;7500
153;TSV Hartberg;Austria;Aut;0;0;0;1500;0;1500
154;Admira Wacker;Austria;Aut;0;1500;0;0;0;1500
155;SCR Altach;Austria;Aut;1500;0;0;0;0;1500
156;Olimpija Ljubljana;Slovakia;Slo;250;2500;1500;1500;2000;7750
